requirement_id,family,requirement_record_sha256,owner,accountable_owner,required_approvers,verification_methods,primary_design,primary_work_package,supporting_work_packages,phase,supporting_phases,entry_gate,acceptance_gate,supporting_gates,test_target,result_target,approval_status,approval_reference
DOC-011,DOC,198afe90d9e963667560dd105f2babd5331801ab68de08dd22fefaebdd30facc,QL,QL,"PO, MO, SA, SO, QL, CM","I,T,D",web/SPELL_GUI_USER_MANUAL.md,NG-WP-05,NG-WP-00;NG-WP-08,8,,G0,G7,,NGV-DOC-011,NGR-DOC-011,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-001,ARC,c85e510a86ddeaea6e2afe08ba8667c408a0ca24c3a2034281d7ff9e95cfb3c9,SA,SA,"PO, MO, SA, SO","I,T",architecture/SYSTEM_CONTEXT.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-001,NGR-ARC-001,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-002,ARC,ac6a699bf82701780bcf26413e70601f98f7418f66267469d5411e5f5a46dfed,SA,SA,"PO, MO, SA, SO","D,T",architecture/SYSTEM_CONTEXT.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-002,NGR-ARC-002,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-003,ARC,ab8350c0a73ce4efbe9a239e1c925f15801066e0a9f118d078cb023228864602,SA,SA,"PO, MO, SA, SO","A,T",architecture/SYSTEM_CONTEXT.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-003,NGR-ARC-003,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-004,ARC,136574509b18ef156265386d9da49511c1a2dcf90ce42a574d7ea02dd1f5df35,SO,SO,"SA, SO, LA, DA","I,A",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-004,NGR-ARC-004,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-005,ARC,1c53a5292d6afc17df5275ce3d9167be69fe91d0b548414db00254e518397771,SO,SO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-005,NGR-ARC-005,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-006,ARC,d11c9c0627679591e8ae32d084c5426c91c813d4048eafb74eb663aa6e3bd5e0,SA,SA,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-006,NGR-ARC-006,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-007,ARC,3f16adae19bbda1753f13acacea10bf753492c28dae61f358144c83cfc776198,SA,SA,"SA, SO, LA, DA","A,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-007,NGR-ARC-007,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-008,ARC,cae325e81dbab210f68fe5ecb5b47eeeb5e491fa8113e427af853a5f34831e20,SO,SO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-008,NGR-ARC-008,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-009,ARC,d501dde6f0b453f23a0673e816d60675040c6d1c0df42c1eec07f7080823906a,MO,MO,"SA, SO, LA, DA","I,D",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-009,NGR-ARC-009,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-010,ARC,d62e7e32fb1086c7646c3739c1a7ee069b78c9c368e9b6ba44cef8f90354bd84,MO,MO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-010,NGR-ARC-010,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-011,ARC,3456a415c6fbd95667b9180301f924fe0949c0ea66c3fd8a095c8bb1956a96bd,SA,SA,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-011,NGR-ARC-011,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-012,ARC,25830a9bf5a3b9de611f099bbbbbe2127537e328053b697b04c266e4590f2ba1,SA,SA,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-012,NGR-ARC-012,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-013,ARC,4bb4a59746ae5739044137b45fd321dfade030e3c1922319c69ca4116316e3b1,SA,SA,"SA, SO, LA, DA","T,A",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-013,NGR-ARC-013,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-014,ARC,9d70315cf63f93e800501ce71680e1480fddf9f66949a6bcd91d0565c6e14830,SA,SA,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-014,NGR-ARC-014,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-015,ARC,8a691cd8ec50a301ae2236bd5920d16ebb269273629f1a029dd5b2f943d8c5ac,DA,DA,"SA, SO, LA, DA",T,architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-015,NGR-ARC-015,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-016,ARC,8014d63b990669c3acbc486ba465a610309a98d2e42e11789e074f23e17a0c19,SA,SA,"SA, SO, LA, DA",T,architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-016,NGR-ARC-016,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-017,ARC,0a3faf11a18ba467a365b3ef0331f686959976690a16e35adffb196e629d162c,SA,SA,"SA, SO, LA, DA","A,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-017,NGR-ARC-017,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-018,ARC,138365ff3dab9c54b66b2d9e780e7dd90f3f383bac96f8c378b9a99bcb4aafb6,SA,SA,"SA, SO, LA, DA","A,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-018,NGR-ARC-018,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-019,ARC,021d31c392cc1ada38cd174314324b305092ec6c9675a4a236d06b5880c0c121,SO,SO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-019,NGR-ARC-019,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-020,ARC,ddb67202eaf9797292fcb345cd8f5c34b0b5c856a65573a13b219ddcbf51c577,CM,CM,"SA, SO, LA, DA",T,architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-020,NGR-ARC-020,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-021,ARC,de895f1b43b9a5095f76a47259f89cf787a2607764f2d487907cf8dc5093ccc3,SO,SO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-021,NGR-ARC-021,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-022,ARC,5120226d67822db657ff79c9dc2c3e6ebef15658de15eaeaf28a3fab4d737a9f,MO,MO,"SA, SO, LA, DA",T,architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-022,NGR-ARC-022,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-023,ARC,4231447cfbd149d9c00f746374cc4d82be007e2c9d6981992e93f35299a425c4,MO,MO,"SA, SO, LA, DA","T,D",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-023,NGR-ARC-023,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-024,ARC,84b144267e7b7eab274a830eb1294ae51a17e09d6b646c54e56186ff1bd1679a,SO,SO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-024,NGR-ARC-024,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-025,ARC,bb04440d678c2a5d78917e294ad646799d0370d57ddf1ef0cef2e8ad1fa3e1c1,SO,SO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-025,NGR-ARC-025,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-026,ARC,e3b24eb95d8663ce686310ae35dc226521f75220730800d8810397290e80e4b4,SA,SA,"PO, MO, SA, SO",T,architecture/SYSTEM_CONTEXT.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-026,NGR-ARC-026,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-027,ARC,4c6d2fd580c487a7e23ae7b411c5b401b674bce8121235978432e09ded9559cc,SA,SA,"SA, SO, LA, DA","T,A",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-027,NGR-ARC-027,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-028,ARC,4f7e82c096c6d8518c99f980aae87aebbabd26c2c75d7ecae2aa484706939d12,MO,MO,"MO, SA, LA, DA, SO",T,architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-028,NGR-ARC-028,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-029,ARC,c99d918b818216f212d470f3e821880cae37df015c598293205e408c6c387265,SA,SA,"SA, SO, LA, DA","T,A",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-029,NGR-ARC-029,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-030,ARC,e327aae7e0c0228f63d69372758dbb41bdd5d0879f9dbc0f47a326b23a2c7081,MO,MO,"MO, SA, LA, DA, SO",T,architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-030,NGR-ARC-030,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-031,ARC,0cff372dc4904d3a329c5d0ce9795f468f652a1f09c1d57bb40fd8025853e576,SA,SA,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-031,NGR-ARC-031,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-032,ARC,9a358394d02b875bd57c9f20c88826485fc5869c92149b1e113b40e3ab4f8718,SA,SA,"SA, SO, LA, DA",T,architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-032,NGR-ARC-032,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-033,ARC,173fb50f84de42aa2b72d80b864e90fbc565d12aa68555142b2dddffc6777c8d,SO,SO,"SA, SO, LA, DA","I,T",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-033,NGR-ARC-033,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-034,ARC,c47a1adcf506b248415fcfb21a43b22de1c5b3349647c6153338fe0afa627209,LA,LA,"SA, SO, LA, DA",T,architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-034,NGR-ARC-034,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-035,ARC,c2909b1f21761969668a257e66ef765675d2bcb6fb1bdf99742e2224a7406202,MO,MO,"SA, SO, LA, DA",T,architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-035,NGR-ARC-035,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-036,ARC,b9af30e4a4c382bb3df86599ab19d39c08f35c846326ba1549d1d268921b5d84,SA,SA,"SA, SO, LA, DA","T,A",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-036,NGR-ARC-036,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-037,ARC,c7d3c3aae7531e29bbbdc0f8f1a1d0db7e11729662fc6933a7893283f686a65d,MO,MO,"SA, SO, LA, DA","T,E",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-037,NGR-ARC-037,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-038,ARC,34378b6abf6e05ebeeec06ec0087df9fa4b944fc93f479099f448ba3fe9cf374,SA,SA,"SA, SO, LA, DA","T,A",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-038,NGR-ARC-038,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-039,ARC,40445b1e8617dc9b5097da5ff10a79a2595f26aa615b27e9244a08a9aff39cd3,SA,SA,"SA, SO, LA, DA","T,E",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-039,NGR-ARC-039,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
ARC-040,ARC,33e9eaec67f148840f561fcfc9f2b6549d7303ebed799ec067206fd14c0af420,MO,MO,"SA, SO, LA, DA","I,T,E",architecture/LOGICAL_ARCHITECTURE.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-ARC-040,NGR-ARC-040,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-001,SRV,aba4b25c16f7cf3db7cccda9b493da73422147fdf9a9c49e6f0decf275c2f456,SA,SA,"MO, SA, LA, DA, SO",T,architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-001,NGR-SRV-001,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-002,SRV,be58067ea26020a6574df1ba9e4b418161debcdb295256571d648718873ff640,MO,MO,"MO, SA, LA, DA, SO","T,A",architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-002,NGR-SRV-002,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-003,SRV,4eff1ce56fcd5c3b0e1ecc27419ce138e364b039a6e99f2c867003fc9b07133d,SA,SA,"MO, SA, LA, DA, SO",T,architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-003,NGR-SRV-003,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-004,SRV,d3ddd99e3a8c60e70257b8b0c0c18d0f2acdd6b46ca02f7e3107408734417ff0,MO,MO,"MO, SA, LA, DA, SO","I,T",architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-004,NGR-SRV-004,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-005,SRV,8e3a8d3fad8a689d4d5d7821bc04e59667f8375de12279227674303a0ae325b7,SA,SA,"PO, MO, SA, SO",T,web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-005,NGR-SRV-005,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-006,SRV,77a0958493a39b48e798bf9eaa6d133ed2e351f69e73cc1dd578a27ab5795fa5,SO,SO,"PO, MO, SA, SO",T,web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-006,NGR-SRV-006,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-007,SRV,560701d584547d79d2ddc0be7f0f5818b7da0c886d21b91b427acff8cfb62b66,SA,SA,"PO, MO, SA, SO",T,web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-007,NGR-SRV-007,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-008,SRV,d7934b20ef38dcf830a36e04c26a70673b06cd7725534f4008ff42400380237f,MO,MO,"PO, MO, SA, SO","T,D",web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-008,NGR-SRV-008,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-009,SRV,5b6beb75d8121b0008b945b87185236498cd7be8f51329f8c79994fa9194aed3,MO,MO,"PO, MO, SA, SO",T,web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-009,NGR-SRV-009,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-010,SRV,93560c4fe5876c870f59cf8d91bb229350478c778611aed9346ed9c07e16d2c2,SA,SA,"MO, SA, LA, DA, SO","T,A",architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-010,NGR-SRV-010,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-011,SRV,c2f9ac5e55b6016c45134aff922e58539c3e231a4f3095135ff9f9a828fe9ce3,SA,SA,"MO, SA, LA, DA, SO",T,architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-011,NGR-SRV-011,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-012,SRV,85b8d479c13444a85fe7daff5cade31d3d5a977faa7484808dfd12ea14060ea2,CM,CM,"MO, SA, LA, DA, SO","T,D",architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-012,NGR-SRV-012,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-013,SRV,60c14bcfa6037e7b8b68cc554296da63a630e1ddbf27e2ace7a99342ebcff3f4,SA,SA,"MO, SA, LA, DA, SO","I,T",architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-013,NGR-SRV-013,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-014,SRV,4cff92f596a2f68d279b525f8b0dfc15e85b7babb62a189b4ba521cf479262ed,SA,SA,"PO, MO, SA, SO","T,A",web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-014,NGR-SRV-014,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-015,SRV,db998ad30bb4eb46300ed989090ccd3a56b76945addf4c650209457d7014b070,SA,SA,"PO, MO, SA, SO",T,web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-015,NGR-SRV-015,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-016,SRV,3674e9419c567891a022ace1f7cf8da5947af6660c5bc2f4be3e86bf0a2c0d28,SA,SA,"PO, MO, SA, SO",T,web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-016,NGR-SRV-016,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-017,SRV,63a6bbab5e1f9ec2e55d5e56831a349c067311f3668c114d4a5c2cbcb635eb6c,MO,MO,"PO, MO, SA, SO","T,D",web/OPERATING_MODES.md,NG-WP-04,NG-WP-02;NG-WP-07;NG-WP-08,3,,G0,G7,,NGV-SRV-017,NGR-SRV-017,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
SRV-018,SRV,487185e7ebe3469e9a3c01a4f8b9099dc0e7ca6ab55e407aa3f8dd31be144765,DA,DA,"MO, SA, LA, DA, SO","I,T",architecture/SERVER_AND_EXECUTION.md,NG-WP-02,NG-WP-07;NG-WP-08,1,,G0,G2,,NGV-SRV-018,NGR-SRV-018,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
